date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:19:02	274248/274248	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:01%20GMT	https://www.gamespot.com/videos/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/videos/index.html	(from https://www.gamespot.com/)
03:19:02	3276/3276	---M-Z	200	added ('OK')	image/jpeg	etag:%22c286d5c8a70affb4b7c1b465527017e1%22	https://static.gamespot.com/uploads/screen_small/1165/11653967/3480676-1200x630wa.jpg	C:/My%20Web%20Sites/gamespot/static.gamespot.com/uploads/screen_small/1165/11653967/3480676-1200x630wa.jpg	(from https://www.gamespot.com/)
03:19:03	199722/199722	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:02%20GMT	https://www.gamespot.com/shows/quickdraw/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/quickdraw/index.html	(from https://www.gamespot.com/)
03:19:03	224014/224014	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:03%20GMT	https://www.gamespot.com/shows/gamespot-live/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/gamespot-live/index.html	(from https://www.gamespot.com/)
03:19:04	206750/206750	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:02%20GMT	https://www.gamespot.com/videos/trailers/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/videos/trailers/index.html	(from https://www.gamespot.com/)
03:19:04	16236/16236	---MCZ	301	error ('Moved%20Permanently')	text/html	date:Thu,%2027%20Dec%202018%2020:19:04%20GMT	https://www.gamespot.com/shows/New_Releases/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/New_Releases/index.html	(from https://www.gamespot.com/)
03:19:04	200593/200593	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:03%20GMT	https://www.gamespot.com/shows/gravehoppers/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/gravehoppers/index.html	(from https://www.gamespot.com/)
03:19:04	12669/12669	---M-Z	200	added ('OK')	image/jpeg	etag:%22b4dd50a0a44cb46f75da8c7097e97368%22	https://static.gamespot.com/uploads/screen_small/1585/15855271/3480403-spiderman-postmortem-promo.jpg	C:/My%20Web%20Sites/gamespot/static.gamespot.com/uploads/screen_small/1585/15855271/3480403-spiderman-postmortem-promo.jpg	(from https://www.gamespot.com/)
03:19:05	4278/4278	---M-Z	200	added ('OK')	image/jpeg	etag:%223089180a7ae3436802c11bb17ec23c1f%22	https://static.gamespot.com/uploads/screen_petite/1165/11653967/3481405-playstation-plus-logo.jpg	C:/My%20Web%20Sites/gamespot/static.gamespot.com/uploads/screen_petite/1165/11653967/3481405-playstation-plus-logo.jpg	(from https://www.gamespot.com/)
03:19:05	246962/246962	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:04%20GMT	https://www.gamespot.com/shows/potato-mode/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/potato-mode/index.html	(from https://www.gamespot.com/)
03:19:05	255165/255165	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Dec%202018%2020:19:04%20GMT	https://www.gamespot.com/shows/steam-punks/	C:/My%20Web%20Sites/gamespot/www.gamespot.com/shows/steam-punks/index.html	(from https://www.gamespot.com/)
